"","x"
"72","ENGINEERING, ELECTRICAL & ELECTRONIC"
"73","ENGINEERING, ENVIRONMENTAL"
"74","ENGINEERING, GEOLOGICAL"
"75","ENGINEERING, INDUSTRIAL"
"76","ENGINEERING, MANUFACTURING"
"77","ENGINEERING, MARINE"
"78","ENGINEERING, MECHANICAL"
"79","ENGINEERING, MULTIDISCIPLINARY"
"80","ENGINEERING, OCEAN"
"81","ENGINEERING, PETROLEUM"
"82","ENTOMOLOGY"
"83","ENVIRONMENTAL SCIENCES"
"84","ENVIRONMENTAL STUDIES"
"85","ERGONOMICS"
"86","ETHICS"
"87","ETHNIC STUDIES"
"88","EVOLUTIONARY BIOLOGY"
"89","FAMILY STUDIES"
"90","FILM, RADIO, TELEVISION"
"91","FISHERIES"
"92","FOLKLORE"
"93","FOOD SCIENCE & TECHNOLOGY"
"94","FORESTRY"
"95","GASTROENTEROLOGY & HEPATOLOGY"
"96","GENETICS & HEREDITY"
"97","GEOCHEMISTRY & GEOPHYSICS"
"98","GEOGRAPHY"
"99","GEOGRAPHY, PHYSICAL"
"100","GEOLOGY"
"101","GEOSCIENCES, MULTIDISCIPLINARY"
"102","GERIATRICS & GERONTOLOGY"
"103","GERONTOLOGY"
"104","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"105","HEALTH CARE SCIENCES & SERVICES"
"106","HEALTH POLICY & SERVICES"
"107","HEMATOLOGY"
"108","HISTORY"
"109","HISTORY & PHILOSOPHY OF SCIENCE"
"110","HISTORY OF SOCIAL SCIENCES"
"111","HORTICULTURE"
"112","HOSPITALITY, LEISURE, SPORT & TOURISM"
"113","HUMANITIES, MULTIDISCIPLINARY"
"114","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"115","IMMUNOLOGY"
"116","INDUSTRIAL RELATIONS & LABOR"
"117","INFECTIOUS DISEASES"
"118","INFORMATION SCIENCE & LIBRARY SCIENCE"
"119","INSTRUMENTS & INSTRUMENTATION"
"120","INTEGRATIVE & COMPLEMENTARY MEDICINE"
"121","INTERNATIONAL RELATIONS"
"122","LANGUAGE & LINGUISTICS"
"123","LAW"
"124","LIMNOLOGY"
"125","LINGUISTICS"
"126","LITERARY REVIEWS"
"127","LITERARY THEORY & CRITICISM"
"128","LITERATURE"
"129","LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN"
"130","LITERATURE, AMERICAN"
"131","LITERATURE, BRITISH ISLES"
"132","LITERATURE, GERMAN, DUTCH, SCANDINAVIAN"
"133","LITERATURE, ROMANCE"
"134","LITERATURE, SLAVIC"
"135","LOGIC"
"136","MANAGEMENT"
"137","MARINE & FRESHWATER BIOLOGY"
"138","MATERIALS SCIENCE, BIOMATERIALS"
"139","MATERIALS SCIENCE, CERAMICS"
"140","MATERIALS SCIENCE, CHARACTERIZATION & TESTING"
"141","MATERIALS SCIENCE, COATINGS & FILMS"
"142","MATERIALS SCIENCE, COMPOSITES"
"143","MATERIALS SCIENCE, MULTIDISCIPLINARY"
"144","MATERIALS SCIENCE, PAPER & WOOD"
"145","MATERIALS SCIENCE, TEXTILES"
"146","MATHEMATICAL & COMPUTATIONAL BIOLOGY"
"147","MATHEMATICS"
"148","MATHEMATICS, APPLIED"
"149","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"
"150","MECHANICS"
"151","MEDICAL ETHICS"
"152","MEDICAL INFORMATICS"
"153","MEDICAL LABORATORY TECHNOLOGY"
"154","MEDICINE, GENERAL & INTERNAL"
"155","MEDICINE, LEGAL"
"156","MEDICINE, RESEARCH & EXPERIMENTAL"
"157","MEDIEVAL & RENAISSANCE STUDIES"
"158","METALLURGY & METALLURGICAL ENGINEERING"
"159","METEOROLOGY & ATMOSPHERIC SCIENCES"
"160","MICROBIOLOGY"
"161","MICROSCOPY"
"162","MINERALOGY"
"163","MINING & MINERAL PROCESSING"
"164","MULTIDISCIPLINARY SCIENCES"
"165","MUSIC"
"166","MYCOLOGY"
"167","NANOSCIENCE & NANOTECHNOLOGY"
"168","NEUROIMAGING"
"169","NEUROSCIENCES"
"170","NUCLEAR SCIENCE & TECHNOLOGY"
"171","NURSING"
"172","NUTRITION & DIETETICS"
"173","OBSTETRICS & GYNECOLOGY"
"174","OCEANOGRAPHY"
"175","ONCOLOGY"
"176","OPERATIONS RESEARCH & MANAGEMENT SCIENCE"
"177","OPHTHALMOLOGY"
"178","OPTICS"
"179","ORNITHOLOGY"
"180","ORTHOPEDICS"
"181","OTORHINOLARYNGOLOGY"
"182","PALEONTOLOGY"
"183","PARASITOLOGY"
"184","PATHOLOGY"
"185","PEDIATRICS"
"186","PERIPHERAL VASCULAR DISEASE"
"187","PHARMACOLOGY & PHARMACY"
"188","PHILOSOPHY"
"189","PHYSICS, APPLIED"
"190","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"
"191","PHYSICS, CONDENSED MATTER"
"192","PHYSICS, FLUIDS & PLASMAS"
"193","PHYSICS, MATHEMATICAL"
"194","PHYSICS, MULTIDISCIPLINARY"
"195","PHYSICS, NUCLEAR"
"196","PHYSICS, PARTICLES & FIELDS"
"197","PHYSIOLOGY"
"198","PLANNING & DEVELOPMENT"
"199","PLANT SCIENCES"
"200","POETRY"
"201","POLITICAL SCIENCE"
"202","POLYMER SCIENCE"
"203","PRIMARY HEALTH CARE"
"204","PSYCHIATRY"
"205","PSYCHOLOGY"
"206","PSYCHOLOGY, APPLIED"
"207","PSYCHOLOGY, BIOLOGICAL"
"208","PSYCHOLOGY, CLINICAL"
"209","PSYCHOLOGY, DEVELOPMENTAL"
"210","PSYCHOLOGY, EDUCATIONAL"
"211","PSYCHOLOGY, EXPERIMENTAL"
"212","PSYCHOLOGY, MATHEMATICAL"
"213","PSYCHOLOGY, MULTIDISCIPLINARY"
"214","PSYCHOLOGY, PSYCHOANALYSIS"
"215","PSYCHOLOGY, SOCIAL"
"216","PUBLIC ADMINISTRATION"
"217","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"218","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"219","REHABILITATION"
"220","RELIGION"
"221","REMOTE SENSING"
"222","REPRODUCTIVE BIOLOGY"
"223","RESPIRATORY SYSTEM"
"224","RHEUMATOLOGY"
"225","ROBOTICS"
"226","SOCIAL ISSUES"
"227","SOCIAL SCIENCES, BIOMEDICAL"
"228","SOCIAL SCIENCES, INTERDISCIPLINARY"
"229","SOCIAL SCIENCES, MATHEMATICAL METHODS"
"230","SOCIAL WORK"
"231","SOCIOLOGY"
"232","SOIL SCIENCE"
"233","SPECTROSCOPY"
"234","SPORT SCIENCES"
"235","STATISTICS & PROBABILITY"
"236","SUBSTANCE ABUSE"
"237","SURGERY"
"238","TELECOMMUNICATIONS"
"239","THEATER"
"240","THERMODYNAMICS"
"241","TOXICOLOGY"
"242","TRANSPLANTATION"
"243","TRANSPORTATION"
"244","TRANSPORTATION SCIENCE & TECHNOLOGY"
"245","TROPICAL MEDICINE"
"246","URBAN STUDIES"
"247","UROLOGY & NEPHROLOGY"
"248","VETERINARY SCIENCES"
"249","VIROLOGY"
"250","WATER RESOURCES"
"251","WOMENS STUDIES"
"252","ZOOLOGY"
