Seq #,Journal Title,ISSN,E-ISSN,WoS Edition,WoS Category,Active WoS CC
11382J,ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,SCIE,EMERGENCY MEDICINE,Yes
D8706J,Academic Journal of Modern Philology,2299-7164,2353-3218,ESCI,LANGUAGE & LINGUISTICS,Yes
07658J,ACADEMIC MEDICINE,1040-2446,1938-808X,SCIE,HEALTH CARE SCIENCES & SERVICES,Yes
07658J,ACADEMIC MEDICINE,1040-2446,1938-808X,SCIE,EDUCATION> SCIENTIFIC DISCIPLINES,Yes
E0697J,Academic Pathology,2374-2895,2374-2895,ESCI,PATHOLOGY,Yes
C9916J,Academic Pediatrics,1876-2859,1876-2867,SCIE,PEDIATRICS,Yes
10926J,ACADEMIC PSYCHIATRY,1042-9670,1545-7230,SSCI,PSYCHIATRY,Yes
10926J,ACADEMIC PSYCHIATRY,1042-9670,1545-7230,SSCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
11219J,ACADEMIC RADIOLOGY,1076-6332,1878-4046,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,Yes
C9919J,Academy of Management Annals,1941-6520,1941-6067,SSCI,MANAGEMENT,Yes
C9919J,Academy of Management Annals,1941-6520,1941-6067,SSCI,BUSINESS,Yes
D8000J,Academy of Management Discoveries,2168-1007,2168-1007,ESCI,MANAGEMENT,Yes
13343J,ACADEMY OF MANAGEMENT EXECUTIVE,0896-3789,,SSCI,MANAGEMENT,No
00054J,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,SSCI,BUSINESS,Yes
00054J,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,SSCI,MANAGEMENT,Yes
C6153J,Academy of Management Learning & Education,1537-260X,,SSCI,MANAGEMENT,Yes
C6153J,Academy of Management Learning & Education,1537-260X,,SSCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
C6450J,Academy of Management Perspectives,1558-9080,,SSCI,BUSINESS,Yes
C6450J,Academy of Management Perspectives,1558-9080,,SSCI,MANAGEMENT,Yes
04599J,ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,SSCI,MANAGEMENT,Yes
04599J,ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,SSCI,BUSINESS,Yes
04628J,ACADIENSIS,0044-5851,1712-7432,AHCI,HISTORY,Yes
00059J,ACAROLOGIA,0044-586X,2107-7207,SCIE,ENTOMOLOGY,Yes
00075J,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,SSCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
00075J,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,SSCI,TRANSPORTATION,Yes
00075J,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
00075J,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,SSCI,ERGONOMICS,Yes
D5264J,Accion Psicologica,1578-908X,2255-1271,ESCI,PSYCHOLOGY> MULTIDISCIPLINARY,Yes
D0034J,Accountability in Research-Policies and Quality Assurance,0898-9621,1545-5815,SCIE,MEDICAL ETHICS,Yes
08069J,ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,SSCI,BUSINESS> FINANCE,Yes
C7098J,Accounting and Finance,0810-5391,1467-629X,SSCI,BUSINESS> FINANCE,Yes
D1408J,Accounting Auditing & Accountability Journal,0951-3574,1758-4205,SSCI,BUSINESS> FINANCE,Yes
D3264J,Accounting Economics and Law-A Convivium,2194-6051,2152-2820,ESCI,BUSINESS> FINANCE,Yes
D3135J,Accounting Education,0963-9284,1468-4489,ESCI,BUSINESS> FINANCE,Yes
D3154J,Accounting Forum,0155-9982,1467-6303,ESCI> SSCI,BUSINESS> FINANCE,Yes
D9467J,Accounting Historians Journal,0148-4184,2327-4468,ESCI,BUSINESS> FINANCE,Yes
D3803J,Accounting History,1032-3732,1749-3374,ESCI,BUSINESS> FINANCE,Yes
D7527J,Accounting History Review,2155-2851,2155-286X,ESCI,BUSINESS,Yes
C8191J,Accounting Horizons,0888-7993,1558-7975,SSCI,BUSINESS> FINANCE,Yes
D8363J,Accounting in Europe,1744-9480,1744-9499,ESCI,BUSINESS> FINANCE,Yes
03529J,ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,SSCI,BUSINESS> FINANCE,Yes
D2988J,Accounting Perspectives,1911-382X,1911-3838,ESCI,BUSINESS> FINANCE,Yes
D3107J,Accounting Research Journal,1030-9616,1839-5465,ESCI,BUSINESS> FINANCE,Yes
00115J,ACCOUNTING REVIEW,0001-4826,1558-7967,SSCI,BUSINESS> FINANCE,Yes
00088J,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
12213J,ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,SCIE,INSTRUMENTS & INSTRUMENTATION,Yes
12213J,ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,SCIE,CHEMISTRY> ANALYTICAL,Yes
D4806J,ACE-Architecture City and Environment,1886-4805,1886-4805,ESCI,ARCHITECTURE,Yes
D7689J,Acesso Livre,2319-0698,2319-0698,ESCI,INFORMATION SCIENCE & LIBRARY SCIENCE,Yes
D8296J,ACG Case Reports Journal,2326-3253,2326-3253,ESCI,GASTROENTEROLOGY & HEPATOLOGY,Yes
10764J,ACH-MODELS IN CHEMISTRY,1217-8969,,SCIE,CHEMISTRY> MULTIDISCIPLINARY,No
07159J,ACI MATERIALS JOURNAL,0889-325X,1944-737X,SCIE,CONSTRUCTION & BUILDING TECHNOLOGY,Yes
07159J,ACI MATERIALS JOURNAL,0889-325X,1944-737X,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
07160J,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
07160J,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,SCIE,CONSTRUCTION & BUILDING TECHNOLOGY,Yes
07160J,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,SCIE,ENGINEERING> CIVIL,Yes
D5094J,ACM Communications in Computer Algebra,1932-2232,1932-2240,ESCI,MATHEMATICS> APPLIED,Yes
10785J,ACM COMPUTING SURVEYS,0360-0300,1557-7341,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
D9737J,ACM Journal of Data and Information Quality,1936-1955,1936-1955,ESCI,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D2873J,ACM Journal on Computing and Cultural Heritage,1556-4673,1556-4711,SCIE> ESCI> AHCI,COMPUTER SCIENCE> INTERDISCIPLINARY APPLICATIONS,Yes
D2873J,ACM Journal on Computing and Cultural Heritage,1556-4673,1556-4711,SCIE> ESCI> AHCI,HUMANITIES> MULTIDISCIPLINARY,Yes
C9285J,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,SCIE,ENGINEERING> ELECTRICAL & ELECTRONIC,Yes
C9285J,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,SCIE,NANOSCIENCE & NANOTECHNOLOGY,Yes
C9285J,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
13273J,ACM SIGCOMM Computer Communication Review,0146-4833,1943-5819,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
11711J,ACM SIGPLAN NOTICES,0362-1340,,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,No
D2874J,ACM Transactions on Accessible Computing,1936-7228,1936-7236,ESCI,COMPUTER SCIENCE> INTERDISCIPLINARY APPLICATIONS,Yes
C9286J,ACM Transactions on Algorithms,1549-6325,1549-6333,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
C9286J,ACM Transactions on Algorithms,1549-6325,1549-6333,SCIE,MATHEMATICS> APPLIED,Yes
C9353J,ACM Transactions on Applied Perception,1544-3558,1544-3965,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
C7597J,ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
C7597J,ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
D5674J,ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,SCIE,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
C9330J,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,SCIE,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
C9330J,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
C9330J,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D2876J,ACM Transactions on Computation Theory,1942-3454,1942-3462,ESCI,COMPUTER SCIENCE> THEORY & METHODS,Yes
C6942J,ACM Transactions on Computational Logic,1529-3785,1557-945X,SCIE,LOGIC,Yes
C6942J,ACM Transactions on Computational Logic,1529-3785,1557-945X,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
04795J,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
C7771J,ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,SCIE,COMPUTER SCIENCE> CYBERNETICS,Yes
C7771J,ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D3451J,ACM Transactions on Computing Education,1946-6226,1946-6226,SCIE,EDUCATION> SCIENTIFIC DISCIPLINES,Yes
D9786J,ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,ESCI,COMPUTER SCIENCE> INTERDISCIPLINARY APPLICATIONS,Yes
03624J,ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
03624J,ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
13307J,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
13307J,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D9336J,ACM Transactions on Economics and Computation,2167-8375,2167-8383,ESCI,COMPUTER SCIENCE> INTERDISCIPLINARY APPLICATIONS,Yes
C8124J,ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
C8124J,ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
04191J,ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
C7898J,ACM Transactions on Information and System Security,1094-9224,,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,No
09068J,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D1486J,ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,SCIE,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
D1486J,ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D3254J,ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,ESCI,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
C7899J,ACM Transactions on Internet Technology,1533-5399,1557-6051,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
C7899J,ACM Transactions on Internet Technology,1533-5399,1557-6051,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D0958J,ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
D0958J,ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D9335J,ACM Transactions on Management Information Systems,2158-656X,2158-6578,ESCI,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
03259J,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,SCIE,MATHEMATICS> APPLIED,Yes
03259J,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
C6859J,ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,SCIE,MATHEMATICS> APPLIED,Yes
C6859J,ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,SCIE,COMPUTER SCIENCE> INTERDISCIPLINARY APPLICATIONS,Yes
D9787J,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,ESCI,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,1551-6865,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,1551-6865,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,1551-6865,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
04794J,ACM TRANSACTIONS ON OFFICE INFORMATION SYSTEMS,0734-2047,,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,No
D9785J,ACM Transactions on Parallel Computing,2329-4949,2329-4957,ESCI,COMPUTER SCIENCE> THEORY & METHODS,Yes
D8161J,ACM Transactions on Privacy and Security,2471-2566,2471-2574,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
03625J,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D0959J,ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
C8378J,ACM Transactions on Sensor Networks,1550-4859,1550-4867,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
C8378J,ACM Transactions on Sensor Networks,1550-4859,1550-4867,SCIE,TELECOMMUNICATIONS,Yes
13142J,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D9951J,ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,ESCI,REMOTE SENSING,Yes
D1216J,ACM Transactions on Storage,1553-3077,1553-3093,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D1216J,ACM Transactions on Storage,1553-3077,1553-3093,SCIE,COMPUTER SCIENCE> HARDWARE & ARCHITECTURE,Yes
C9331J,ACM Transactions on the Web,1559-1131,1559-114X,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
C9331J,ACM Transactions on the Web,1559-1131,1559-114X,SCIE,COMPUTER SCIENCE> SOFTWARE ENGINEERING,Yes
D4123J,Acme-An International E-journal for Critical Geographies,1492-9732,1492-9732,ESCI,GEOGRAPHY,Yes
D4150J,ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0001-494X,2282-0035,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
10318J,ACOUSTICAL PHYSICS,1063-7710,1562-6865,SCIE,ACOUSTICS,Yes
D8397J,Acoustical Science and Technology,1346-3969,1347-5177,ESCI,ACOUSTICS,Yes
C8786J,Acoustics Australia,1839-2571,1839-2571,SCIE,ACOUSTICS,Yes
14219J,ACOUSTICS RESEARCH LETTERS ONLINE-ARLO,1529-7853,,SCIE,ACOUSTICS,No
07638J,ACP-APPLIED CARDIOPULMONARY PATHOPHYSIOLOGY,0920-5268,,SCIE,RESPIRATORY SYSTEM,No
07638J,ACP-APPLIED CARDIOPULMONARY PATHOPHYSIOLOGY,0920-5268,,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,No
E0615J,Acque Sotterranee-Italian Journal of Groundwater,1828-454X,1828-454X,ESCI,WATER RESOURCES,Yes
00129J,ACRIDA,0300-4686,,SCIE,ENTOMOLOGY,No
C8943J,Across Languages and Cultures,1585-1923,1588-2519,AHCI> SSCI,LINGUISTICS,Yes
C8943J,Across Languages and Cultures,1585-1923,1588-2519,AHCI> SSCI,LANGUAGE & LINGUISTICS,Yes
C9436J,ACS Applied Materials & Interfaces,1944-8244,,SCIE,NANOSCIENCE & NANOTECHNOLOGY,Yes
C9436J,ACS Applied Materials & Interfaces,1944-8244,,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D5793J,ACS Biomaterials Science & Engineering,2373-9878,2373-9878,SCIE,MATERIALS SCIENCE> BIOMATERIALS,Yes
D0537J,ACS Catalysis,2155-5435,2155-5435,SCIE,CHEMISTRY> PHYSICAL,Yes
D5097J,ACS Central Science,2374-7943,2374-7951,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
C6619J,ACS Chemical Biology,1554-8929,1554-8937,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
D0035J,ACS Chemical Neuroscience,1948-7193,1948-7193,SCIE,NEUROSCIENCES,Yes
D0035J,ACS Chemical Neuroscience,1948-7193,1948-7193,SCIE,CHEMISTRY> MEDICINAL,Yes
D0035J,ACS Chemical Neuroscience,1948-7193,1948-7193,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
D0491J,ACS Combinatorial Science,2156-8952,2156-8944,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
D0491J,ACS Combinatorial Science,2156-8952,2156-8944,SCIE,CHEMISTRY> APPLIED,Yes
D0491J,ACS Combinatorial Science,2156-8952,2156-8944,SCIE,CHEMISTRY> MEDICINAL,Yes
D9540J,ACS Earth and Space Chemistry,2472-3452,2472-3452,SCIE,GEOCHEMISTRY & GEOPHYSICS,Yes
D9540J,ACS Earth and Space Chemistry,2472-3452,2472-3452,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
D8602J,ACS Energy Letters,2380-8195,2380-8195,SCIE,CHEMISTRY> PHYSICAL,Yes
D8602J,ACS Energy Letters,2380-8195,2380-8195,SCIE,ENERGY & FUELS,Yes
D8602J,ACS Energy Letters,2380-8195,2380-8195,SCIE,NANOSCIENCE & NANOTECHNOLOGY,Yes
D8602J,ACS Energy Letters,2380-8195,2380-8195,SCIE,ELECTROCHEMISTRY,Yes
D8602J,ACS Energy Letters,2380-8195,2380-8195,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D5728J,ACS Infectious Diseases,2373-8227,,SCIE,INFECTIOUS DISEASES,Yes
D5728J,ACS Infectious Diseases,2373-8227,,SCIE,CHEMISTRY> MEDICINAL,Yes
D1054J,ACS Macro Letters,2161-1653,2161-1653,SCIE,POLYMER SCIENCE,Yes
D0150J,ACS Medicinal Chemistry Letters,1948-5875,,SCIE,CHEMISTRY> MEDICINAL,Yes
C7685J,ACS Nano,1936-0851,1936-086X,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
C7685J,ACS Nano,1936-0851,1936-086X,SCIE,NANOSCIENCE & NANOTECHNOLOGY,Yes
C7685J,ACS Nano,1936-0851,1936-086X,SCIE,CHEMISTRY> PHYSICAL,Yes
C7685J,ACS Nano,1936-0851,1936-086X,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D8687J,ACS Omega,2470-1343,2470-1343,ESCI,CHEMISTRY> MULTIDISCIPLINARY,Yes
D2539J,ACS Photonics,2330-4022,,SCIE,PHYSICS> APPLIED,Yes
D2539J,ACS Photonics,2330-4022,,SCIE,PHYSICS> CONDENSED MATTER,Yes
D2539J,ACS Photonics,2330-4022,,SCIE,NANOSCIENCE & NANOTECHNOLOGY,Yes
D2539J,ACS Photonics,2330-4022,,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D2539J,ACS Photonics,2330-4022,,SCIE,OPTICS,Yes
